epoch,lr,g_total,d_total,g_adv,cycle,identity,official_score
1,0.00020000,1.295258,2.168517,0.770644,0.024727,0.055468,47.7450
2,0.00020000,2.089399,2.335671,1.531162,0.033370,0.044907,38.7282
