epoch,lr,g_total,d_total,g_adv,cycle,identity,official_score
1,0.00020000,1.203997,1.880720,0.772339,0.025703,0.034925,48.0994
2,0.00020000,2.034501,2.366383,1.526968,0.034220,0.033067,37.1122
