epoch,lr,g_total,d_total,g_adv,cycle,identity,official_score
1,0.00020000,1.568050,2.169857,0.771802,0.040955,0.077340,46.5384
2,0.00020000,2.349804,2.324113,1.501546,0.052445,0.064762,37.9952
